InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.tj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.to, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Diamin.u, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: None, file_name: Trojan.Win32.Diamin.va, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: pecompact, file_name: Trojan.Win32.Diamin.vv, predicted-end-of-unpacking: a0x0018ff7cjmp__16esp_, score: 0.7193402217080722
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.wd, predicted-end-of-unpacking: a0x0002013cjmp_0x000166d8, score: 0.9843063008153033
Inference decision: packer_name_be_pum: CustomPacked_UPXv1.25_1_0.9782546897178677, packer_identification: upx, file_name: Trojan.Win32.Diamin.wp, predicted-end-of-unpacking: a0x0001fedcjmp_0x000161dc, score: 0.9843063008153036
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Disabler.a, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Disabler.b, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DiskFill.f, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.akt, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.aqd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.aqm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.ayy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.chg, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_1_0.9524219303271909, packer_identification: upx, file_name: Trojan.Win32.DNSChanger.cii, predicted-end-of-unpacking: a0x00407234jmp_0x004013a0, score: 0.9939893424030172
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_1_0.9524219303271909, packer_identification: upx, file_name: Trojan.Win32.DNSChanger.ckn, predicted-end-of-unpacking: a0x00407224jmp_0x004013a0, score: 0.993989342403017
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cld, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cmu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cmw, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cmx, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cnd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cne, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cng, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cnh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.cnw, predicted-end-of-unpacking: None, score: 0
