InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.eub, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.94_1_0.9858101257019252, packer_identification: upx, file_name: Trojan.Win32.Inject.kdg, predicted-end-of-unpacking: a0x0042692bjmp_0x0040f2a0, score: 0.9939893424030171
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.fdm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: winupack, file_name: Trojan.Win32.Inject.ctj, predicted-end-of-unpacking: a0x0040e66bret, score: 1.0000000000000002
Inference decision: packer_name_be_pum: FSGv2.0, packer_identification: None, file_name: Trojan.Win32.Inject.dsk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.cbx, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.htj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: FSGv2.0, packer_identification: None, file_name: Trojan.Win32.Inject.dwy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.cte, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.ehm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.dpz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.gtl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.jts, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.drm, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.gvn, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: FSGv2.0, packer_identification: None, file_name: Trojan.Win32.Inject.pbr, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.jif, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.lzz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.cou, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.gtz, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.civ, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_UPXv3.0_2_0.9422520543091526, packer_identification: upx, file_name: Trojan.Win32.Humor.qo, predicted-end-of-unpacking: a0x004129acjmp_0x0040c8b2, score: 0.9968190785566972
Inference decision: packer_name_be_pum: FSGv2.0, packer_identification: None, file_name: Trojan.Win32.Inject.dsl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.bfs, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_Upackv0.37-0.39_1_0.9445763258039975, packer_identification: None, file_name: Trojan.Win32.Inject.koj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: winupack, file_name: Trojan.Win32.Inject.jmn, predicted-end-of-unpacking: a0x00410a7bret, score: 0.9819283306661997
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.gti, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.ehq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.hyd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: PETITEv2.4, packer_identification: None, file_name: Trojan.Win32.Inject.etj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FlyStudio.k, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.lki, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.hnk, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.DNSChanger.jgt, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.FraudPack.afh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Inject.akd, predicted-end-of-unpacking: None, score: 0
