InferencePacker names: ['upx']
File name: accesschk.exe
Inference decision: packer_name_be_pum: Upackv0.37-0.39, packer_identification: None, file_name: Trojan.Win32.Delf.ewi, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.exg, predicted-end-of-unpacking: a0x004e23bfret, score: 0.9736505754918345
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.eyj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.eys, predicted-end-of-unpacking: a0x0046a3bfret, score: 0.9771080060831696
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ezo, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fdy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fee, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ffl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.ffy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fge, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fgh, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fgi, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fgj, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_1_0.9218817873772904, packer_identification: aspack, file_name: Trojan.Win32.Delf.fgw, predicted-end-of-unpacking: a0x004963bfret, score: 0.975817260055023
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fgy, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: CustomPacked_ASPackv2.12_4_0.8366593411851894, packer_identification: aspack, file_name: Trojan.Win32.Delf.fh, predicted-end-of-unpacking: a0x0044d3baret, score: 0.9582672939965544
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fhq, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fhu, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fil, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fis, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fiv, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fjl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fjp, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fkd, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fko, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.fl, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.flc, predicted-end-of-unpacking: None, score: 0
Inference decision: packer_name_be_pum: None, packer_identification: None, file_name: Trojan.Win32.Delf.flj, predicted-end-of-unpacking: None, score: 0
