This experiments fix wrong packer namePacker names: ['yodaC']
File name: accesschk.exe
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: OpenedFilesView.exe, end-of-unpacking: a0x0041e942ret, predicted-end-of-unpacking: a0x0041e942ret, score: 0.9858619151803546
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pipelist.exe, end-of-unpacking: a0x00435942ret, predicted-end-of-unpacking: a0x00435942ret, score: 0.9867746619717938
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: livekd.exe, end-of-unpacking: a0x0049d942ret, predicted-end-of-unpacking: a0x0049d942ret, score: 0.9877905713953363
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pslist.exe, end-of-unpacking: a0x0042d942ret, predicted-end-of-unpacking: a0x0042d942ret, score: 0.9856211281291368
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: handle.exe, end-of-unpacking: a0x00474942ret, predicted-end-of-unpacking: a0x00474942ret, score: 0.9847736400499272
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: sync.exe, end-of-unpacking: a0x00425942ret, predicted-end-of-unpacking: a0x00425942ret, score: 0.9772643325729723
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: adrestore.exe, end-of-unpacking: a0x00425942ret, predicted-end-of-unpacking: a0x00425942ret, score: 0.9853400811666114
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Autologon.exe, end-of-unpacking: a0x00423942ret, predicted-end-of-unpacking: a0x00423942ret, score: 0.9822499660684704
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ShellRunas.exe, end-of-unpacking: a0x00418942ret, predicted-end-of-unpacking: a0x00418942ret, score: 0.9832311926759927
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Coreinfo.exe, end-of-unpacking: a0x004dc942ret, predicted-end-of-unpacking: a0x004dc942ret, score: 0.9846599567967746
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: PsInfo.exe, end-of-unpacking: a0x00455942ret, predicted-end-of-unpacking: a0x00455942ret, score: 0.9806923311089718
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: FastHash_kr.exe, end-of-unpacking: a0x00479942ret, predicted-end-of-unpacking: a0x00479942ret, score: 0.9883897407338025
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: sysexp.exe, end-of-unpacking: a0x00414942ret, predicted-end-of-unpacking: a0x00414942ret, score: 0.9826402252630103
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: md5v11027.exe, end-of-unpacking: a0x0046b942ret, predicted-end-of-unpacking: a0x0046b942ret, score: 0.9880457336557331
